timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1631376000,Sep 11 2021 - 4:00pm,complete,27500.0,Napoli,Juventus,Massimiliano Irrati,3,3.0,1.0,1.89,1.84,2,1,3,1,0,1,"57,85",10,13,1,2,0,1,0,1,1,1,0,21,9,6,2,15,7,10,13,67,33,1.54,1.3,2.26,0.87,3.0,50,100,50,50,0,50,50,100,100,5.0,6.0,2.55,3.5,2.75,1.33,1.9,2.75,5.75,1.77,2.15,Stadio Diego Armando Maradona (Napoli)
1631385900,Sep 11 2021 - 6:45pm,complete,0.0,Atalanta,Fiorentina,Valerio Marini,3,1.0,0.0,1.05,1.11,1,2,3,1,0,1,65,"33,49",10,3,4,0,4,0,1,3,1,3,16,8,7,3,9,5,10,17,55,45,2.36,1.69,2.01,0.92,2.0,50,50,50,50,0,0,50,50,50,9.0,6.0,1.49,4.9,5.9,1.25,1.5,2.05,4.75,1.8,2.05,Gewiss Stadium (Bergamo)
1631442600,Sep 12 2021 - 10:30am,complete,0.0,Sampdoria,Inter Milan,Daniele Orsato,3,0.0,3.0,1.11,2.05,2,2,4,3,1,2,"33,47","18,44",4,4,4,0,4,0,1,3,1,3,15,9,4,5,11,4,12,13,52,48,2.02,1.99,1.62,1.13,2.5,50,50,50,50,0,0,100,50,50,12.0,5.0,4.84,4.18,1.69,1.29,1.65,2.29,5.25,1.83,2.05,Stadio Comunale Luigi Ferraris (Genova)
1631451600,Sep 12 2021 - 1:00pm,complete,0.0,Cagliari,Genoa,Luca Pairetto,3,1.0,0.0,0.79,0.58,2,3,5,1,1,0,"16,56","59,69,78",2,6,2,0,3,0,1,1,2,1,11,12,6,4,5,8,15,15,52,48,2.31,1.24,1.32,1.44,4.0,50,100,100,100,0,50,100,100,100,13.0,4.0,2.2,3.3,3.65,1.37,2.0,3.3,6.25,1.83,2.05,Unipol Domus (Cagliari)
1631451600,Sep 12 2021 - 1:00pm,complete,0.0,Spezia,Udinese,Marco Guida,3,0.0,0.0,0.95,1.16,0,1,1,0,0,0,0,89,4,5,1,0,2,0,1,0,2,0,21,11,5,5,16,6,14,17,56,44,0.0,0.0,2.07,1.27,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,3.25,3.45,2.3,1.33,1.91,3.1,5.75,1.77,2.15,Stadio Alberto Picco (La Spezia)
1631451600,Sep 12 2021 - 1:00pm,complete,0.0,Torino,Salernitana,Gianluca Aureliano,3,0.0,0.0,1.53,0.84,4,0,4,1,1,0,"45,65,87,90'1",0,7,4,0,0,2,0,0,0,1,1,16,9,8,4,8,5,10,11,60,40,2.29,1.15,1.92,1.07,4.0,100,100,100,50,50,0,50,100,100,9.0,5.0,1.71,3.8,5.5,1.33,1.91,3.15,6.0,1.91,1.95,Stadio Olimpico Grande Torino (Torino)
1631462400,Sep 12 2021 - 4:00pm,complete,0.0,AC Milan,Lazio,Daniele Chiffi,3,3.0,3.0,2.11,1.47,2,0,2,1,1,0,"45,66",0,5,1,1,0,4,0,0,1,3,1,23,9,4,6,19,3,9,18,47,53,2.21,1.3,2.16,1.27,4.5,100,100,100,100,50,100,100,0,0,11.0,2.0,2.3,3.5,3.2,1.26,1.77,2.75,4.8,1.65,2.3,Stadio Giuseppe Meazza (Milano)
1631472300,Sep 12 2021 - 6:45pm,complete,0.0,Roma,Sassuolo,Simone Sozza,3,3.0,3.0,1.89,1.37,2,1,3,1,1,0,"37,90'1",57,4,6,2,0,1,0,1,1,1,0,18,19,7,10,11,9,7,11,49,51,1.58,2.08,1.89,2.08,4.5,100,100,100,100,50,0,100,100,100,8.0,5.0,1.57,4.5,5.75,1.2,1.56,2.3,3.85,1.65,2.35,Stadio Olimpico (Roma)
1631558700,Sep 13 2021 - 6:45pm,complete,0.0,Bologna,Hellas Verona,Ivano Pezzuto,3,3.0,0.0,1.47,1.21,1,0,1,0,0,0,78,0,6,2,1,0,3,0,0,1,0,3,16,6,4,0,12,6,14,20,42,58,2.16,0.0,1.59,0.8,2.5,50,50,50,50,50,0,0,50,50,9.0,6.0,2.2,3.5,3.4,1.31,1.87,3.05,5.5,1.74,2.15,Stadio Renato Dall'Ara (Bologna)
1631904300,Sep 17 2021 - 6:45pm,complete,0.0,Sassuolo,Torino,Marco Piccinini,4,1.0,0.0,1.26,1.11,0,1,1,0,0,0,0,83,6,3,0,0,4,0,0,0,2,2,12,19,3,5,9,14,7,19,53,47,1.98,0.82,1.17,1.9,1.5,50,50,50,0,0,0,50,50,50,11.0,7.0,1.83,4.0,4.25,1.22,1.61,2.45,4.1,1.61,2.4,MAPEI Stadium - Città del Tricolore (Reggio nell'Emilia)
